Id,Date published,Title,Channel title,View count,Like count,Comments count
vBsJVdhBbzo,2024-01-18T04:28:17Z,ĐẬP HỘP GALAXY S24 ULTRA: KHUNG TITAN MÀ ĐÃ XƯỚC RỒI:)) - TEST THỬ TÍNH NĂNG AI XỊN SÒ!!,Duy Thẩm,101653,1658,277
F9QP6-TBur0,2024-01-26T12:00:09Z,SO SÁNH iPHONE 15 PRO MAX VS GALAXY S24 ULTRA: HƠN 30 TRIỆU MÁY NÀO XỊN HƠN???,Duy Thẩm,74428,1152,318
9QhAhUUZiOw,2024-01-29T11:39:25Z,"CẢ TEAM SCHANNEL VUI MỪNG, PHẤN KHỞI ĐI MUA GALAXY S24 ULTRA...",Duy Thẩm,41356,643,38
RmxNmqeotp8,2024-01-29T07:00:09Z,AI GALAXY S24 ULTRA CÓ DỊCH ĐƯỢC TIẾNG NGHỆ AN KHÔNG??? #shorts,Duy Thẩm,123282,4436,106
j-li0Wgm90E,2024-01-22T13:06:45Z,Tư vấn Flagship 30 triệu: Galaxy S24 Ultra hay iPhone 15 Pro Max | Vật Vờ Studio,Vật Vờ Studio,66557,765,213
DF0PEXpdplg,2024-01-25T13:03:54Z,Dùng Galaxy S24 Ultra từ Mỹ về Việt Nam: Pin quá khỏe! Màn hình chống chói và AI thú vị thật sự,Vật Vờ Studio,58297,913,310
xCC7ZJFRFFA,2024-01-17T18:06:38Z,Galaxy S24 Ultra: Thêm viền Titan và cực nhiều AI - Bỏ màn cong và camera 10X,Vật Vờ Studio,38286,805,221
ZI2xSUtDZMY,2024-01-18T12:19:42Z,So sánh Camera Galaxy S24 Ultra và iPhone 15 Pro Max: Khác biệt rõ ràng!,Vật Vờ Studio,189450,2182,763
Q4ouqpI6kkw,2024-01-29T11:51:32Z,KIỂM CHỨNG: Màn hình Galaxy S24 Ultra xấu hơn cả S22 Ultra chỉ vì kính chống chói?,Vật Vờ Studio,47793,763,240
GDH6e3DZOe8,2024-01-20T11:30:10Z,So sánh camera Galaxy S24 Ultra vs S23 Ultra: Zoom kém hơn đời trước?,Vật Vờ Studio,60950,651,206
jW7nOHQjNZA,2024-01-28T04:15:01Z,So sánh Galaxy S24 Ultra vs Galaxy S23 Ultra: NÊN hay KHÔNG NÊN nâng cấp?,Dương Dê,30052,376,143
YS9N7XUTkWA,2024-01-17T18:08:15Z,"Trên tay Galaxy S24 Ultra tập trung AI, viền Titan, duy nhất có Snap 8 Gen 3",Dương Dê,64664,1062,334
-bYfFLJjSFM,2024-01-27T03:15:00Z,So sánh iPhone 15 Pro Max vs Galaxy S24 Ultra : MỨC GIÁ QUYẾT ĐỊNH!,Dương Dê,65687,653,222
gIKRYMVPK2E,2024-01-24T03:15:01Z,So sánh camera iPhone 15 Pro Max vs Galaxy S24 Ultra: KÈO NÀY QUÁ CĂNG,Dương Dê,17554,285,156
F10CylqH8dA,2024-01-20T07:15:00Z,Speedtest Galaxy S24 Ultra vs Galaxy S24 Plus: CÓ CHUYỆN NÀY SAO?,Dương Dê,38983,444,200
83UvQ6mhTXw,2024-01-19T07:15:00Z,Speedtest Galaxy S24 Ultra vs S23 Ultra : Chênh nhiều không?,Dương Dê,37583,321,105
wcFwuMLMJJA,2024-01-22T11:15:06Z,So sánh Galaxy S24 Plus vs Galaxy S24 Ultra : có nên cố lên không?,Dương Dê,18097,265,72
VaEHTOS2qVA,2024-01-31T03:15:02Z,So sánh Galaxy S24 Ultra vs Galaxy Z Fold 5: THỰC DỤNG hay ĐỘC LẠ?,Dương Dê,9306,134,49
wbXUd6sj0vk,2024-01-18T11:15:07Z,Speedtest iPhone 15 Pro Max vs Galaxy S24 Ultra: NGẠC NHIÊN CHƯA,Dương Dê,54286,752,351
clWg-QwFSF4,2024-01-21T14:35:04Z,cuhiep: 5 điểm yêu thích nhất trên Galaxy S24 Ultra,Tinh tế,18775,364,119
tNFGnA8JqtQ,2024-01-30T14:00:41Z,"Lại nói về Galaxy S24 Ultra: AI, camera và những thứ khác",Tinh tế,19311,335,80
bSKu5mfdoPk,2024-01-23T14:00:26Z,Đi đặt cọc sớm Galaxy S24 Ultra tại Di Động Việt,Tinh tế,4093,76,16
qYxyng_Yp5g,2024-01-30T13:00:52Z,Đi nhận Galaxy S24 Ultra 512GB đã đặt cọc tại Di Động Việt,Tinh tế,2976,50,15
-OFUUF7L2cE,2024-01-17T18:17:30Z,"Review Galaxy S24 Ultra viền titan, màn phẳng, Snap. 8 Gen 3 và A.I. mạnh - Hướng mới của Samsung?",ReLab,41849,682,195
KqzIpZ58N-Y,2024-01-23T05:00:17Z,"Đánh giá Camera Galaxy S24 Ultra: Nâng cấp rõ rệt so với S23 Ultra, thách thức iPhone 15 Pro Max",ReLab,29813,341,145
oQq6hRnOUrI,2023-11-25T12:57:31Z,"Galaxy S24 Ultra màu “titan” lộ diện với mang hình phẳng: Samsung, không cần thay đổi nhiều nữa đâu!",ReLab,60843,580,209
LdWk29onwGk,2024-01-18T13:45:01Z,"Test thực tế Galaxy S24 Ultra & S24 Plus bản THƯƠNG MẠI: Khay SIM bị lệch, hiệu năng chưa đạt đỉnh?",ReLab,22442,346,109
zdeEGHYs2LU,2024-01-27T04:00:21Z,"Tuấn Ngọc đây ""Đập hộp"" full bộ Galaxy S24 Ultra MỚI!",ReLab,10265,366,5
PvvMezlk5Ps,2024-01-26T14:00:45Z,So sánh màn hình của Galaxy S24 Ultra vs. iPhone 15 Pro Max,ReLab,41651,1182,30
gGoXIu5gMNI,2023-11-15T11:11:05Z,Galaxy S24 Ultra và toàn bộ thiết kế mới - Cái kết của một xu hướng!,ReLab,68301,597,254
_iderasGBQs,2024-02-04T12:12:57Z,Đừng chửi mình vì so sánh Galaxy S24 Ultra với iPhone 14 Pro Max nhé 🥹,Vinh Xô,4847,215,68
5trWyE_r06M,2024-01-26T11:25:58Z,Vinh Xô | Galaxy S24 Ultra hay S23 Ultra: ĐỪNG CHỌN SAI!,Vinh Xô,46464,893,215
OdmRpZh3tTE,2024-01-18T01:42:51Z,Chỉ 8 phút đủ biết mọi thứ về Galaxy S24 Ultra: lần đầu có Titan và rất rất nhiều AI,Vinh Xô,112994,1424,473
maY-WTy_dD8,2024-01-18T00:00:31Z,"5 tính năng AI trên Galaxy S24 Ultra mà bạn cần phải biết: sửa ảnh như PTS, dịch 13 ngôn ngữ và...",Vinh Xô,42351,850,273
leYAYhfIlEw,2024-01-20T05:03:05Z,"Vlog | Đi xem Tesla Cybertruck ngoài đời thật, quay 4K bằng Galaxy S24 Ultra",Vinh Xô,12555,310,46
2_biGlfHBF4,2024-01-23T11:00:02Z,"Mình đã chốt mua Galaxy S24 Ultra, không phải S24 thường",Duy Luân Dễ Thương,23629,425,132
Rrn-ohCq9d0,2024-01-24T11:00:20Z,Có nên mua Galaxy S24 Ultra? Review nhanh sau 1 tuần,Duy Luân Dễ Thương,32692,605,156
6r7G_eH9ckU,2024-01-17T18:03:16Z,"Ấn tượng thực tế với Galaxy S24 Ultra: đẹp, rất đẹp, test nhnah tính năng AI cho anh em coi",Duy Luân Dễ Thương,86928,1294,442
Xi7QhdEetr0,2024-01-22T04:35:09Z,So sánh Galaxy S24 Ultra vs Galaxy S23 Ultra: ngoại hình và camera là khác biệt chính,Duy Luân Dễ Thương,49983,691,247
SNaeBn-MgQA,2024-01-21T03:22:44Z,So sánh camera Galaxy S24 Ultra vs iPhone 15 Pro Max: bổ sung chống rung,Duy Luân Dễ Thương,30335,503,212
FqIWxkWMZBI,2024-01-19T02:00:06Z,Galaxy S24 Ultra đẹp quá trời #shorts,Duy Luân Dễ Thương,72673,1835,154
kr6I-5XyDgo,2023-12-26T05:38:13Z,ĐÂY LÀ GALAXY S24 ULTRA !!!,AnhEm TV,44235,748,186
gA_0Buk1FxI,2024-01-27T12:00:39Z,"NĂM MỚI 2024, TẬU “TRỢ LÝ” GALAXY S24 ULTRA - AI SIÊU ĐỈNH, ĐỠ VẤT VẢ BIẾT BAO!!",AnhEm TV,13755,390,3
DUmoKesxbTU,2024-01-19T12:30:15Z,Những trải nghiệm cực XỊN trên Galaxy S24 Ultra !!!,Tony Phùng Studio,51413,705,224
4azGQ1_rOG4,2024-01-17T18:17:04Z,"Trên tay Galaxy S24 Ultra: AI sẽ là xu hướng, camera nhiều nâng cấp, màn hình phẳng !!!",Tony Phùng Studio,23797,441,164
9kzaWZ4FLVI,2024-01-27T12:30:09Z,So sánh iPhone 15 Pro Max và Galaxy S24 Ultra !!!,Tony Phùng Studio,31214,591,302
x-hwhNyA0Zo,2024-01-22T13:00:56Z,Snapdragon 8 Gen 3 trên Galaxy S24 Ultra mạnh tới đâu ???,Tony Phùng Studio,9103,207,33
XcknojcrxqI,2024-01-30T04:45:02Z,Galaxy AI trên Galaxy S24 Ultra rất ấn tượng và thực dụng !!!,Tony Phùng Studio,5877,167,40
X53f4X-L3ws,2024-01-30T13:00:34Z,Có nên nâng cấp lên Galaxy S24 Ultra hay mua Galaxy S23 Ultra là đủ rồi ???,Tony Phùng Studio,11925,182,52
m0Hq974MUsc,2024-01-27T05:00:20Z,"Snapdragon 8 Gen 3 trên Galaxy S24 Ultra ""BỊ BÓP HIỆU NĂNG"" ???",Tony Phùng Studio,10221,374,29
vY10dNiHY5Y,2023-12-17T13:00:47Z,Sắp ra Galaxy S24 Ultra nhưng S23 Ultra vẫn vô đối những thứ này !!!,Tony Phùng Studio,12379,272,71
